year,child,contribution_pp,share_of_parent
1996,CP01,0.6465379655296326,0.2518600546769558
1996,CP02,0.03624450260182627,0.01411911271066207
1996,CP03,0.08963407628735885,0.034917119424161557
1996,CP04,0.43200249057029433,0.16828736547046383
1996,CP05,0.2407416716935018,0.0937813613869952
1996,CP06,0.060318669771176364,0.02349724884936156
1996,CP07,0.43475636209151347,0.16936014119112763
1996,CP08,0.022297475865339218,0.00868602277052986
1996,CP09,0.15634883475297534,0.06090597639893415
1996,CP10,-0.04361777151347222,-0.016991383188566335
1996,CP11,0.2808060605989521,0.1093885178392222
1996,CP12,0.21098209235131618,0.08218846247015262
1997,CP01,0.3421623613518985,0.14691283953310807
1997,CP02,-0.005462402650132051,-0.0023453692592995128
1997,CP03,0.126524489291439,0.05432529726191782
1997,CP04,0.2151297415813776,0.09236936838660431
1997,CP05,0.1986155010112093,0.08527871713755858
1997,CP06,0.0712017833813769,0.030571615577615334
1997,CP07,0.6797515483920555,0.29186211410494084
1997,CP08,0.08180900713221544,0.03512599541834841
1997,CP09,0.20312515901306302,0.08721501036325956
1997,CP10,0.03842736748058258,0.01649940002181739
1997,CP11,0.35950231395057414,0.15435802334460563
1997,CP12,0.01822918093707021,0.007826988109523488
1998,CP01,0.7429589703453712,0.21643945762216285
1998,CP02,0.25787777162190284,0.07512517817331227
1998,CP03,0.22582339524175418,0.06578706918606775
1998,CP04,0.36332475145562276,0.10584408464602914
1998,CP05,0.18398333840112932,0.05359818720076023
1998,CP06,0.07684268310309691,0.022385877709148055
1998,CP07,0.8672872951701386,0.2526588940462706
1998,CP08,0.08092004996162859,0.023573699791674278
1998,CP09,0.1034396607649033,0.03013413252439597
1998,CP10,-0.040209110097212286,-0.011713753152297047
1998,CP11,0.38960808551292675,0.11350096853185196
1998,CP12,0.18078417363520366,0.05266620372062404
1999,CP01,0.48531946164337325,0.1672395254966248
1999,CP02,0.03795394609394832,0.01307880774857664
1999,CP03,0.03933501960410561,0.013554721238080152
1999,CP04,0.4250125850331759,0.1464579697883063
1999,CP05,0.014680299904262973,0.0050587841291664165
1999,CP06,0.2131456784009207,0.07344931521336796
1999,CP07,0.8802553346775707,0.3033331570690777
1999,CP08,0.08491044543929159,0.02925986639169444
1999,CP09,0.23815845419598913,0.08206863730104182
1999,CP10,0.003785164435245459,0.00130435548975021
1999,CP11,0.16081833762718825,0.05541748188884772
1999,CP12,0.31856762300958374,0.10977737824546584
2000,CP01,0.09306565650740516,0.06856531049250512
2000,CP02,0.020403526192442012,0.015032119914347051
2000,CP03,0.08463684939086963,0.06235546038543893
2000,CP04,0.22940887783040415,0.1690149892933625
2000,CP05,0.09024636585118488,0.06648822269807281
2000,CP06,-0.015665955295906326,-0.01154175588865108
2000,CP07,0.39612486962505633,0.29184154175588894
2000,CP08,0.07359220558299516,0.05421841541755885
2000,CP09,0.13073370486268243,0.09631691648822255
2000,CP10,0.02970427887275716,0.021884368308351186
2000,CP11,0.22693836539969434,0.16719486081370435
2000,CP12,-0.001860150536063493,-0.0013704496788011682
2001,CP01,0.18669560406001945,0.36617636188927416
2001,CP02,0.011607235779266183,0.022765910266833642
2001,CP03,0.06451814173410439,0.1265429817429223
2001,CP04,0.27597333640119537,0.5412816911819043
2001,CP05,0.017335482007995357,0.03400103481410299
2001,CP06,0.015074332180865528,0.029566117229654777
2001,CP07,-0.469414704112152,-0.9206888905314488
2001,CP08,0.19920729977013812,0.3907162391898882
2001,CP09,-0.056980975643671286,-0.11175992312809425
2001,CP10,0.017033995364378066,0.03340971246950993
2001,CP11,0.163556504162391,0.32079237194175436
2001,CP12,0.08524534848279484,0.1671963929336983
2002,CP01,-0.16158929388771098,0.4318299190910676
2002,CP02,0.0021579594758772826,-0.005766913410225374
2002,CP03,-0.09008675603028253,0.2407471165432959
2002,CP04,-0.23508874946908456,0.6282492683766571
2002,CP05,-0.07430466434103018,0.19857118264761625
2002,CP06,-0.08255000203990491,0.22060595627474694
2002,CP07,0.22877591279338533,-0.6113788948183897
2002,CP08,-0.06969887023579938,0.18626269581683622
2002,CP09,0.04534935734381045,-0.12119125494921727
2002,CP10,-0.009887963568572309,0.026424513685660306
2002,CP11,0.019357218582123144,-0.05173007402306656
2002,CP12,0.05336923658998164,-0.1426235152349813
2003,CP01,-0.41976148541020636,-0.5464098073555193
2003,CP02,-0.08573799570878658,-0.11160643209680075
2003,CP03,-0.050513255674362975,-0.06575386085018284
2003,CP04,-0.7668719444994139,-0.9982486865148888
2003,CP05,0.18994451831061948,0.24725362203470735
2003,CP06,-0.2909710296593465,-0.3787613437350745
2003,CP07,1.6542173922415586,2.1533195351058807
2003,CP08,-0.08573799570878658,-0.11160643209680075
2003,CP09,0.3875944485037714,0.5045374940296153
2003,CP10,0.035102431909303365,0.04569336092978844
2003,CP11,0.6745293100341734,0.878044897309348
2003,CP12,-0.4735770604627968,-0.6164623467600728
2004,CP01,0.3916476658177574,0.2943118909644203
2004,CP02,-0.1327319831024655,-0.09974424552429671
2004,CP03,0.1263560228625547,0.0949528958528926
2004,CP04,0.1244173863031236,0.09349606656091253
2004,CP05,0.03071661926389381,0.023082650781831467
2004,CP06,0.11528425406757473,0.08663278189646804
2004,CP07,0.3506347323826574,0.2634918579429573
2004,CP08,0.08663551380040821,0.0651040823594159
2004,CP09,-0.016543031973822203,-0.012431609958237434
2004,CP10,0.022746668964005727,0.017093463692576617
2004,CP11,0.10933910195198186,0.08216517206772608
2004,CP12,0.12222026486909937,0.09184499336333339
2005,CP01,0.29566100090462855,0.34353146853146904
2005,CP02,-0.14396143610023587,-0.16727022977022957
2005,CP03,0.08963332415647407,0.10414585414585428
2005,CP04,0.2849135999266322,0.3310439560439543
2005,CP05,-0.013756673251832644,-0.015984015984015647
2005,CP06,0.060615341515888974,0.07042957042957056
2005,CP07,0.13740552150365984,0.15965284715284764
2005,CP08,0.022515805048898486,0.026161338661338723
2005,CP09,0.038368221491440105,0.04458041958041936
2005,CP10,0.013219303202933286,0.015359640359640448
2005,CP11,0.0849044677261564,0.09865134865134867
2005,CP12,-0.008866605806845446,-0.010302197802197804
2006,CP01,0.6523077962693613,0.5441587209862274
2006,CP02,-0.05091464392120137,-0.04247327362034085
2006,CP03,0.17843215913881344,0.14884908022729432
2006,CP04,0.15233984728804018,0.1270827313878462
2006,CP05,-0.044449292312160014,-0.03707984204950399
2006,CP06,0.13831234335056514,0.11538091110469008
2006,CP07,-0.3566334128630185,-0.2975055378984875
2006,CP08,0.056283194810851964,0.04695174804969661
2006,CP09,0.0028285913289559524,0.002359626312241426
2006,CP10,0.002597685914347014,0.0021670037561398437
2006,CP11,0.23350310052297046,0.19478955985745927
2006,CP12,0.23413809041314335,0.1953192718867372
2007,CP01,0.7160668619331428,0.34528421904816986
2007,CP02,-0.6065761493314078,-0.2924882900595617
2007,CP03,0.11194915686059137,0.05398137974903159
2007,CP04,0.2587362677308248,0.12476146417625625
2007,CP05,0.05102770888503603,0.02460533163707842
2007,CP06,0.1704121605772899,0.0821719771005611
2007,CP07,0.46290706532606424,0.2232117041577516
2007,CP08,0.06937609774381548,0.033452842190481634
2007,CP09,0.07962960916489821,0.038397039264442295
2007,CP10,0.03651689155227623,0.017608280807263007
2007,CP11,0.2253374030434386,0.10865668189440789
2007,CP12,0.4984645639968365,0.24035737003411808
2008,CP01,-0.10196007697263015,0.46432524164391736
2008,CP02,0.08131854859774844,-0.37032391352468175
2008,CP03,-0.02156505044502945,0.09820703903194854
2008,CP04,-0.04820137120508105,0.21950859588283103
2008,CP05,0.014403703865988866,-0.06559433335792807
2008,CP06,-0.058716561091500356,0.2673946727661778
2008,CP07,0.049189701841555335,-0.2240094444034554
2008,CP08,-0.02871019488248858,0.130745960303992
2008,CP09,-0.015424438785625905,0.0702427506825058
2008,CP10,-0.018583856394026214,0.0846307090681033
2008,CP11,0.08293876275590242,-0.37770235372242394
2008,CP12,-0.15427679213942225,0.7025750756290133
2009,CP01,0.004034743141004382,-0.008310331522868256
2009,CP02,-0.03647119603529323,0.07511946101564138
2009,CP03,0.014928549621716265,-0.030748226634612654
2009,CP04,0.028891642848977803,-0.05950790965482447
2009,CP05,-0.054987785093116914,0.1132579467545189
2009,CP06,0.07308649003990791,-0.15053571958567064
2009,CP07,-0.35167109412932834,0.7243344314842849
2009,CP08,-0.006902292730503872,0.014216602855192372
2009,CP09,-0.03635591765983594,0.0748820229721308
2009,CP10,0.006945522121300373,-0.014305642121508871
2009,CP11,-0.05320097027352905,0.10957765708010539
2009,CP12,-0.0738069798865157,0.1520197073576111
2010,CP01,0.1581502494485555,0.13541989463898382
2010,CP02,0.06859647807369205,0.058737358086598884
2010,CP03,0.1440690539494951,0.12336253767924044
2010,CP04,0.13663365632615954,0.11699580246217973
2010,CP05,-0.030958890104241653,-0.02650928247457517
2010,CP06,0.015298495109960099,0.01309969856607601
2010,CP07,0.4726083489345738,0.4046820858100686
2010,CP08,0.04112498685473145,0.035214243457193574
2010,CP09,0.007863097486624534,0.0067329633490153095
2010,CP10,0.03151818992546624,0.02698819618559321
2010,CP11,0.11311016384525313,0.096853255204665
2010,CP12,0.009837096855651642,0.0084232470349606
2011,CP01,0.03272548422640665,-0.007462686567163694
2011,CP02,-0.23691682892052848,0.05402627580659582
2011,CP03,-0.056828685183584124,0.012959156314237202
2011,CP04,-0.2176146720564474,0.04962463133434592
2011,CP05,-0.40583519660414713,0.09254625078201804
2011,CP06,-0.3689945317265129,0.08414514255071937
2011,CP07,-2.528974471161188,0.5767047993565108
2011,CP08,0.0719176809047423,-0.016400035749396653
