year,child,contribution_pp,share_of_parent
1996,N111G,0.20249165023827204,0.08401099865442015
1996,N112G,1.3367833177289792,0.5546129994734686
1996,N1131G,0.4365697417393373,0.181126777043234
1996,N1132G,0.023407809150106627,0.009711577838881425
1996,N115G,-0.03623980091311682,-0.015035394605979047
1996,N117G,0.1587782717049401,0.06587491955771375
1996,N11OG,0.28850829831998837,0.1196981220382612
1997,N111G,0.7063720159730312,0.2812314737207926
1997,N112G,1.0606619709206142,0.4222867305844593
1997,N1131G,0.3968560959115764,0.15800233047815695
1997,N1132G,0.036815347492379406,0.014657481039311502
1997,N115G,0.0269054980279035,0.010712022405298782
1997,N117G,0.06859875069709738,0.027311568575341897
1997,N11OG,0.21550071607463905,0.0857983931966392
1998,N111G,1.1749129416039255,0.32096291028210594
1998,N112G,0.9989876169697511,0.27290360121549095
1998,N1131G,0.6335678395233417,0.17307816641882723
1998,N1132G,0.14657814043511005,0.040042240468955416
1998,N115G,0.0016566958822052,0.00045257645309367613
1998,N117G,0.24392874608469325,0.06663649490312706
1998,N11OG,0.46095590665357833,0.1259240102583997
1999,N111G,0.4892503989640059,0.40236885368405306
1999,N112G,0.24996338518896508,0.20557465251830845
1999,N1131G,0.10403783207610491,0.08556269615901957
1999,N1132G,0.05842473888640653,0.04804961889104768
1999,N115G,0.05120115141911364,0.04210880286952622
1999,N117G,0.11639516409562492,0.0957256015543268
1999,N11OG,0.14665245499636087,0.12060977432371832
2000,N111G,0.18787228248586088,0.45512345024901985
2000,N112G,0.09021806347545706,0.2185546254106178
2000,N1131G,0.03814310368513862,0.09240224647663434
2000,N1132G,0.010454359840307525,0.02532584507788496
2000,N115G,-0.023555116209228424,-0.057062625834481295
2000,N117G,0.05290605952657715,0.1281657306347357
2000,N11OG,0.056755363568196625,0.13749072798558865
2001,N111G,-1.0798570208381513,-0.9693943998263391
2001,N112G,3.0166359587946356,2.7080529628825496
2001,N1131G,-1.6386455508777817,-1.4710223572823824
2001,N1132G,0.17360889855839556,0.15584979379205402
2001,N115G,-0.009430009810274921,-0.008465378771434646
2001,N117G,0.2662164307977625,0.23898415454742541
2001,N11OG,0.3854214266045734,0.34599522465812693
2002,N111G,-1.1024284534594602,0.40065320665083143
2002,N112G,-0.499499597187724,0.1815320665083138
2002,N1131G,-0.8021077928016127,0.29150831353919193
2002,N1132G,0.024019117038467607,-0.00872921615201902
2002,N115G,0.08022711881556158,-0.029156769596199478
2002,N117G,0.27826228786741597,-0.1011282660332539
2002,N11OG,-0.7300504416862108,0.26532066508313523
2003,N111G,-0.7223172551015491,0.7296612391133376
2003,N112G,-0.1145903701306813,0.1157554396900764
2003,N1131G,-0.10138393089569057,0.10241472721447095
2003,N1132G,0.012860418993025558,-0.012991174157466982
2003,N115G,-0.010322937218616936,0.010427893157787405
2003,N117G,-0.011014977702546525,0.011126969794063617
2003,N11OG,-0.043166025185110486,0.043604905187731136
2004,N111G,-0.9644569537652226,-2.5837937384898386
2004,N112G,-0.4963206846888662,-1.3296500920809928
2004,N1131G,-0.11308137483562164,-0.3029465930018341
2004,N1132G,0.40695546445403524,1.0902394106813853
2004,N115G,0.37911476122702736,1.0156537753222692
2004,N117G,0.30659144788260007,0.8213627992633388
2004,N11OG,0.854468990399264,2.2891344383056724
2005,N111G,-0.21443085343466764,1.3607085346215826
2005,N112G,1.1647782452841708,-7.391304347826111
2005,N1131G,-0.27558805542017617,1.7487922705314052
2005,N1132G,-0.23168682743887747,1.4702093397745613
2005,N115G,0.2535105592677313,-1.608695652173918
2005,N117G,-0.2763493483909506,1.7536231884058044
2005,N11OG,-0.5778213648174413,3.666666666666676
2006,N111G,-1.6727013484273439,2.548333883206864
2006,N112G,-0.8785796699339397,1.3385021445067673
2006,N1131G,0.2185079829833237,-0.3328934345100633
2006,N1132G,0.2228391620315556,-0.33949191685912233
2006,N115G,-0.07471283858200853,0.11382382052128022
2006,N117G,1.0199926658587253,-1.5539425932035649
